id,url,canonical_url,source_domain,title_from_excel,title_from_page,source_type,reliability_label,status,original_file_name,original_sheet_name,original_row_number,fetched_at,content_hash,error_message
1,https://www.szvca.com/szvca/cn,https://www.szvca.com/szvca/cn,szvca.com,,[首页 Home](/szvca/cn),investor,medium_high,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,2,2026-05-20T21:44:21.730424+00:00,9ba691f054b00f4d657f759639cf7e06ca84ba40ab0214341c0c4eb2aa5ec2a2,
2,https://www.szpfa.org.cn/,https://www.szpfa.org.cn,szpfa.org.cn,,通知公告,unknown,low,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,3,2026-05-20T21:44:21.733887+00:00,0d619734cb0836bd5f90a2f9c1f6bceedfe8d2a12e885f42a02ab55c47604174,
3,http://www.szama.org/,http://www.szama.org,szama.org,,公会头条 */ Special column*,unknown,low,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,4,2026-05-20T21:44:21.734415+00:00,406f607ba7ce84a787d66e580d6c4db74886cacbd9944af5bca4ab908603c9a3,
4,https://www.tsfof.com/tsfof/index.html,https://www.tsfof.com/tsfof/index.html,tsfof.com,,基金简介,unknown,low,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,5,2026-05-20T21:44:21.734865+00:00,0d52b8dea3f6c8dd79de8b5b96f08ff453f0028454dca0a48d5421c64473da5e,
5,https://www.szscfa.com/,https://www.szscfa.com,szscfa.com,,,unknown,low,failed,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,7,,,Failed to fetch url
6,https://www.qhfa.org.cn/,https://www.qhfa.org.cn,qhfa.org.cn,,"[金融向善｜公会“圳帮扶”项目团队走进成田镇 开展消防与应急救护综合演练](/index/news/detail/id/58/aid/1033.html ""金融向善｜公会“圳帮扶”项目团队走进成田镇 开展消防与应急救护综合演练"")",unknown,low,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,8,2026-05-20T21:44:31.051392+00:00,68f496466795ee1f95903af851f3f7cbe544ca43265211672683f528e0347362,
7,https://www.szfta.org.cn/,https://www.szfta.org.cn,szfta.org.cn,,![](/template/eyou/pc/index_files/logo.png),unknown,low,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,9,2026-05-20T21:44:31.053481+00:00,258c818110e9c77975c0f1f72eac3b76b1be42e19bfa118adca927b3cf111df3,
8,https://saai.net.cn/,https://saai.net.cn,saai.net.cn,,深圳市人工智能学会第二届第一次会员代表大会暨换届大会,unknown,low,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,10,2026-05-20T21:44:31.054606+00:00,298417dbb65cbb8b8f02fb52f1777b0ef0efe2f356d35a101a5eee2762fcf119,
9,https://www.szsia.com/,https://www.szsia.com,szsia.com,,[![半导体协会](http://www.szsia.com/wp-content/uploads/2021/12/logo_gaitubao_174x51.png)](/),unknown,low,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,11,2026-05-20T21:44:31.055187+00:00,553aaadcd75bea99bdf8aaf50c87bebc01addc2852f2a1045ea2fa0f95c6bcad,
10,http://www.szbattery.org/,http://www.szbattery.org,szbattery.org,,[贺雪琴会长荣获福布斯ESG影响力企业人物，协会携手探讨绿色规则下出海新路径](/servers/dynamic/1959.html),unknown,low,fetched,创新创业相关协会（深圳·香港）-2026.03.24.xlsx,深圳,12,2026-05-20T21:44:31.055812+00:00,4593bee3451934b690e9da70a8f70560897667539d5e66a3de3aba207e0664b8,
