case_id,category,architecture,passed,overall_score,heuristic_score,rag_score,retrieval_score,smoke_passed,rag_quality_passed,retrieval_passed,confidence,source_mode,used_web_fallback,citation_count,latency_ms,tool_calls,needs_human_review,answer_preview
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,False,0.723,0.857,0.788,0.4875,False,False,True,High,internal_only,False,6,38,3,True,The controlled research loop found these supported points: - An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( ) or means you’ve safely connected... [1] - . Home 2. Startups HKU Startup...
hk_university_commercialization_hku,hong_kong_university_commercialization,coverage_rag,False,0.733,0.857,0.8049,0.4875,False,False,True,High,internal_only,False,6,32,2,True,- An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. [1] - Startups HKU Startup / Spin-off Companies Startups TSSSU Program and Application HKU Startup / Spin-off Companies Techno-Entrepreneurship Core HKU Startup / Spin-off...
hk_university_commercialization_hku,hong_kong_university_commercialization,plan_execute,False,0.728,0.857,0.7951,0.4875,False,False,True,High,internal_only,False,4,34,2,True,- An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. [1] - Startups HKU Startup / Spin-off Companies Startups TSSSU Program and Application HKU Startup / Spin-off Companies Techno-Entrepreneurship Core HKU Startup / Spin-off...
hk_university_commercialization_hku,hong_kong_university_commercialization,react_loop,False,0.733,0.857,0.8049,0.4875,False,False,True,High,internal_only,False,6,31,1,True,- An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. [1] - Startups HKU Startup / Spin-off Companies Startups TSSSU Program and Application HKU Startup / Spin-off Companies Techno-Entrepreneurship Core HKU Startup / Spin-off...
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,False,0.771,0.667,0.7749,0.825,False,False,True,Low,internal_only,True,4,23,4,True,The controlled research loop found these supported points: - Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of... [1] - Call for Applications - 6th Asia...
hk_university_commercialization_cuhk,hong_kong_university_commercialization,coverage_rag,False,0.788,0.667,0.8026,0.825,False,False,True,Medium,internal_only,True,4,9,2,True,- Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of Funding/Programme PI... [1] - Call for Applications - 6th Asia Exhibition of Innovations and...
hk_university_commercialization_cuhk,hong_kong_university_commercialization,plan_execute,False,0.813,0.833,0.8026,0.825,False,False,True,Medium,internal_only,False,2,15,2,True,- Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of Funding/Programme PI... [1] - Call for Applications - 6th Asia Exhibition of Innovations and...
hk_university_commercialization_cuhk,hong_kong_university_commercialization,react_loop,False,0.788,0.667,0.8026,0.825,False,False,True,Medium,internal_only,True,4,9,2,True,- Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of Funding/Programme PI... [1] - Call for Applications - 6th Asia Exhibition of Innovations and...
hk_university_support_comparison,comparison,deterministic_controller,False,0.615,0.556,0.7108,0.4213,False,False,True,High,internal_only,False,6,7,3,True,The controlled research loop found these supported points: - Font Size Login CUHK - ORKTS Announcements Event Highlight HKTDC Hong Kong International Medical and Healthcare Fair (11 – 13 May 2026) Event Highlight Asia Summit on Global Health (ASGH) (11 – 12 May 2026) Event Highlight Pitching Skills Workshop - The 12th... [1] - jijis Skip to main content...
hk_university_support_comparison,comparison,coverage_rag,False,0.629,0.556,0.7346,0.4213,False,False,True,High,internal_only,False,6,5,2,True,- Font Size Login CUHK - ORKTS Announcements Event Highlight HKTDC Hong Kong International Medical and Healthcare Fair (11 – 13 May 2026) Event Highlight Asia Summit on Global Health (ASGH) (11 – 12 May 2026) Event Highlight Pitching Skills Workshop - The 12th Hong Kong University... [1] - Log in A one-stop online job information system For employers and...
