case_id,category,architecture,overall_score,rag_score,retrieval_score,confidence,source_mode,failure_reasons,question,answer_preview,human_decision__good_bad_unclear,answer_quality__good_partial_bad,retrieval_quality__good_partial_bad,should_have_used_web__yes_no,should_refuse__yes_no,source_ids_to_add,chunk_ids_to_add,required_claims_to_add,forbidden_claims_to_add,human_notes
hk_university_commercialization_hku,hong_kong_university_commercialization,deterministic_controller,0.723,0.788,0.4875,High,internal_only,Smoke check failed: answer_contains:commercialization; RAG dimension failed: answer_relevance - Answer matched 6 of 17 key question terms.,"What commercialization and startup-support pathway does HKU appear to provide through its Technology Transfer Office, startup or spin-off pages, and iDendron?",The controlled research loop found these supported points: - An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. Secure .gov websites use HTTPS A lock ( ) or means you’ve safely connected... [1] - . Home 2. Startups HKU Startup...,,,,,,,,,,
hk_university_commercialization_hku,hong_kong_university_commercialization,coverage_rag,0.733,0.8049,0.4875,High,internal_only,Smoke check failed: answer_contains:commercialization; RAG dimension failed: answer_relevance - Answer matched 5 of 17 key question terms.,"What commercialization and startup-support pathway does HKU appear to provide through its Technology Transfer Office, startup or spin-off pages, and iDendron?",- An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. [1] - Startups HKU Startup / Spin-off Companies Startups TSSSU Program and Application HKU Startup / Spin-off Companies Techno-Entrepreneurship Core HKU Startup / Spin-off...,,,,,,,,,,
hk_university_commercialization_hku,hong_kong_university_commercialization,plan_execute,0.728,0.7951,0.4875,High,internal_only,Smoke check failed: answer_contains:commercialization; RAG dimension failed: answer_relevance - Answer matched 5 of 17 key question terms.,"What commercialization and startup-support pathway does HKU appear to provide through its Technology Transfer Office, startup or spin-off pages, and iDendron?",- An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. [1] - Startups HKU Startup / Spin-off Companies Startups TSSSU Program and Application HKU Startup / Spin-off Companies Techno-Entrepreneurship Core HKU Startup / Spin-off...,,,,,,,,,,
hk_university_commercialization_hku,hong_kong_university_commercialization,react_loop,0.733,0.8049,0.4875,High,internal_only,Smoke check failed: answer_contains:commercialization; RAG dimension failed: answer_relevance - Answer matched 5 of 17 key question terms.,"What commercialization and startup-support pathway does HKU appear to provide through its Technology Transfer Office, startup or spin-off pages, and iDendron?",- An official website of the United States government Here’s how you know Official websites use .gov A .gov website belongs to an official government organization in the United States. [1] - Startups HKU Startup / Spin-off Companies Startups TSSSU Program and Application HKU Startup / Spin-off Companies Techno-Entrepreneurship Core HKU Startup / Spin-off...,,,,,,,,,,
hk_university_commercialization_cuhk,hong_kong_university_commercialization,deterministic_controller,0.759,0.7966,0.825,Medium,internal_plus_web,Smoke check failed: intent; Smoke check failed: web_used; Smoke check failed: source_mode,"What evidence do we have that CUHK supports knowledge transfer, entrepreneurship, and startup discovery?",The controlled research loop found these supported points: - Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of... [1] - Call for Applications - 6th Asia...,,,,,,,,,,
hk_university_commercialization_cuhk,hong_kong_university_commercialization,coverage_rag,0.769,0.8133,0.825,Medium,internal_plus_web,Smoke check failed: intent; Smoke check failed: web_used; Smoke check failed: source_mode,"What evidence do we have that CUHK supports knowledge transfer, entrepreneurship, and startup discovery?",- Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of Funding/Programme PI... [1] - Call for Applications - 6th Asia Exhibition of Innovations and...,,,,,,,,,,
hk_university_commercialization_cuhk,hong_kong_university_commercialization,plan_execute,0.813,0.8026,0.825,Medium,internal_only,Smoke check failed: intent,"What evidence do we have that CUHK supports knowledge transfer, entrepreneurship, and startup discovery?",- Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of Funding/Programme PI... [1] - Call for Applications - 6th Asia Exhibition of Innovations and...,,,,,,,,,,
hk_university_commercialization_cuhk,hong_kong_university_commercialization,react_loop,0.769,0.8133,0.825,Medium,internal_plus_web,Smoke check failed: intent; Smoke check failed: web_used; Smoke check failed: source_mode,"What evidence do we have that CUHK supports knowledge transfer, entrepreneurship, and startup discovery?",- Starting Year NIL Project/Company Logo Project/Company Name Countryside Curators Limited Business Area Countryside Conservation Source of Funding/Programme S-KPF Starting Year 2023 Project/Company Logo Project/Company Name AnalyticX Business Area Source of Funding/Programme PI... [1] - Call for Applications - 6th Asia Exhibition of Innovations and...,,,,,,,,,,
hk_university_support_comparison,comparison,deterministic_controller,0.615,0.7108,0.4213,High,internal_only,Smoke check failed: answer_contains:HKU; Smoke check failed: answer_contains:HKUST; Smoke check failed: answer_contains:PolyU; Smoke check failed: answer_contains:EdUHK; RAG dimension failed: context_relevance - Matched 7 of 13 question terms in retrieved context.; RAG dimension failed: answer_relevance - Answer matched 5 of 13 key question terms.,"Compare the Hong Kong university entrepreneurship support signals across HKU, CUHK, HKUST, PolyU, HKBU, and EdUHK.",The controlled research loop found these supported points: - Font Size Login CUHK - ORKTS Announcements Event Highlight HKTDC Hong Kong International Medical and Healthcare Fair (11 – 13 May 2026) Event Highlight Asia Summit on Global Health (ASGH) (11 – 12 May 2026) Event Highlight Pitching Skills Workshop - The 12th... [1] - jijis Skip to main content...,,,,,,,,,,
hk_university_support_comparison,comparison,coverage_rag,0.629,0.7346,0.4213,High,internal_only,Smoke check failed: answer_contains:HKU; Smoke check failed: answer_contains:HKUST; Smoke check failed: answer_contains:PolyU; Smoke check failed: answer_contains:EdUHK; RAG dimension failed: context_relevance - Matched 7 of 13 question terms in retrieved context.; RAG dimension failed: answer_relevance - Answer matched 5 of 13 key question terms.,"Compare the Hong Kong university entrepreneurship support signals across HKU, CUHK, HKUST, PolyU, HKBU, and EdUHK.",- Font Size Login CUHK - ORKTS Announcements Event Highlight HKTDC Hong Kong International Medical and Healthcare Fair (11 – 13 May 2026) Event Highlight Asia Summit on Global Health (ASGH) (11 – 12 May 2026) Event Highlight Pitching Skills Workshop - The 12th Hong Kong University... [1] - Log in A one-stop online job information system For employers and...,,,,,,,,,,
